service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
71088S,0,0,0,0,0,1,0,20240306,20240506
71070D,0,0,0,0,0,0,1,20240306,20240506
71126LM,1,1,0,0,0,0,0,20240306,20240506
71050LMXJV,1,1,1,1,1,0,0,20240306,20240506
72233S,0,0,0,0,0,1,0,20240306,20240506
71588LMXJV,1,1,1,1,1,0,0,20240306,20240506
71141XJV,0,0,1,1,1,0,0,20240306,20240506
56746MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71469LMXJV,1,1,1,1,1,0,0,20240306,20240506
72238LMXJV,1,1,1,1,1,0,0,20240306,20240506
71129LM,1,1,0,0,0,0,0,20240306,20240506
71172D,0,0,0,0,0,0,1,20240306,20240506
71132LM,1,1,0,0,0,0,0,20240306,20240506
71197XJV,0,0,1,1,1,0,0,20240306,20240506
56767L,1,0,0,0,0,0,0,20240306,20240506
71082LMXJV,1,1,1,1,1,0,0,20240306,20240506
71181LM,1,1,0,0,0,0,0,20240306,20240506
71066LMXJV,1,1,1,1,1,0,0,20240306,20240506
71472LMXJV,1,1,1,1,1,0,0,20240306,20240506
72456SD,0,0,0,0,0,1,1,20240306,20240506
56762MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71086D,0,0,0,0,0,0,1,20240306,20240506
71194XJV,0,0,1,1,1,0,0,20240306,20240506
71255LMXJV,1,1,1,1,1,0,0,20240306,20240506
56753MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71473S,0,0,0,0,0,1,0,20240306,20240506
72203LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71721D,0,0,0,0,0,0,1,20240306,20240506
71723LMXJV,1,1,1,1,1,0,0,20240306,20240506
71188LM,1,1,0,0,0,0,0,20240306,20240506
56728L,1,0,0,0,0,0,0,20240306,20240506
71437S,0,0,0,0,0,1,0,20240306,20240506
71128LM,1,1,0,0,0,0,0,20240306,20240506
56769MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72201LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71064D,0,0,0,0,0,0,1,20240306,20240506
24864D,0,0,0,0,0,0,1,20240306,20240506
71175S,0,0,0,0,0,1,0,20240306,20240506
71097S,0,0,0,0,0,1,0,20240306,20240506
72194LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71585D,0,0,0,0,0,0,1,20240306,20240506
71137XJV,0,0,1,1,1,0,0,20240306,20240506
71250D,0,0,0,0,0,0,1,20240306,20240506
71174S,0,0,0,0,0,1,0,20240306,20240506
71054D,0,0,0,0,0,0,1,20240306,20240506
56744L,1,0,0,0,0,0,0,20240306,20240506
72236LMXJV,1,1,1,1,1,0,0,20240306,20240506
72450LMXJV,1,1,1,1,1,0,0,20240306,20240506
56752L,1,0,0,0,0,0,0,20240306,20240506
24662JVS,0,0,0,1,1,1,0,20240306,20240506
71591S,0,0,0,0,0,1,0,20240306,20240506
72453SD,0,0,0,0,0,1,1,20240306,20240506
56743L,1,0,0,0,0,0,0,20240306,20240506
71190XJV,0,0,1,1,1,0,0,20240306,20240506
71096D,0,0,0,0,0,0,1,20240306,20240506
56727L,1,0,0,0,0,0,0,20240306,20240506
71751S,0,0,0,0,0,1,0,20240306,20240506
72447LMXJV,1,1,1,1,1,0,0,20240306,20240506
71081S,0,0,0,0,0,1,0,20240306,20240506
56730MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72234S,0,0,0,0,0,1,0,20240306,20240506
71435LMXJV,1,1,1,1,1,0,0,20240306,20240506
71198XJV,0,0,1,1,1,0,0,20240306,20240506
71252S,0,0,0,0,0,1,0,20240306,20240506
71136XJV,0,0,1,1,1,0,0,20240306,20240506
71471LMXJV,1,1,1,1,1,0,0,20240306,20240506
71135XJV,0,0,1,1,1,0,0,20240306,20240506
56800MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71049S,0,0,0,0,0,1,0,20240306,20240506
71750S,0,0,0,0,0,1,0,20240306,20240506
56797L,1,0,0,0,0,0,0,20240306,20240506
72202LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71192XJV,0,0,1,1,1,0,0,20240306,20240506
72197LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
56722MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72240LMXJV,1,1,1,1,1,0,0,20240306,20240506
71119S,0,0,0,0,0,1,0,20240306,20240506
56776L,1,0,0,0,0,0,0,20240306,20240506
72239LMXJV,1,1,1,1,1,0,0,20240306,20240506
71058LMXJV,1,1,1,1,1,0,0,20240306,20240506
71043S,0,0,0,0,0,1,0,20240306,20240506
72338S,0,0,0,0,0,1,0,20240306,20240506
71725LMXJV,1,1,1,1,1,0,0,20240306,20240506
56808MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71468D,0,0,0,0,0,0,1,20240306,20240506
33153LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71253S,0,0,0,0,0,1,0,20240306,20240506
56720L,1,0,0,0,0,0,0,20240306,20240506
71130LM,1,1,0,0,0,0,0,20240306,20240506
71065S,0,0,0,0,0,1,0,20240306,20240506
71109LMXJV,1,1,1,1,1,0,0,20240306,20240506
56759L,1,0,0,0,0,0,0,20240306,20240506
71110LMXJV,1,1,1,1,1,0,0,20240306,20240506
72241LMXJV,1,1,1,1,1,0,0,20240306,20240506
71074LMXJV,1,1,1,1,1,0,0,20240306,20240506
71118S,0,0,0,0,0,1,0,20240306,20240506
56817L,1,0,0,0,0,0,0,20240306,20240506
71731S,0,0,0,0,0,1,0,20240306,20240506
56737MXJVSD,0,1,1,1,1,1,1,20240306,20240506
24289D,0,0,0,0,0,0,1,20240306,20240506
71125LM,1,1,0,0,0,0,0,20240306,20240506
56751L,1,0,0,0,0,0,0,20240306,20240506
71087S,0,0,0,0,0,1,0,20240306,20240506
71470LMXJV,1,1,1,1,1,0,0,20240306,20240506
71251D,0,0,0,0,0,0,1,20240306,20240506
56799MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72458SD,0,0,0,0,0,1,1,20240306,20240506
72457SD,0,0,0,0,0,1,1,20240306,20240506
72460SD,0,0,0,0,0,1,1,20240306,20240506
71073LMXJV,1,1,1,1,1,0,0,20240306,20240506
56834L,1,0,0,0,0,0,0,20240306,20240506
71720D,0,0,0,0,0,0,1,20240306,20240506
72232D,0,0,0,0,0,0,1,20240306,20240506
72451LMXJV,1,1,1,1,1,0,0,20240306,20240506
71138XJV,0,0,1,1,1,0,0,20240306,20240506
71191XJV,0,0,1,1,1,0,0,20240306,20240506
71055S,0,0,0,0,0,1,0,20240306,20240506
71080D,0,0,0,0,0,0,1,20240306,20240506
56761MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71098LMXJV,1,1,1,1,1,0,0,20240306,20240506
72448LMXJV,1,1,1,1,1,0,0,20240306,20240506
71584D,0,0,0,0,0,0,1,20240306,20240506
72331LMXJV,1,1,1,1,1,0,0,20240306,20240506
71586LMXJV,1,1,1,1,1,0,0,20240306,20240506
71120S,0,0,0,0,0,1,0,20240306,20240506
72455SD,0,0,0,0,0,1,1,20240306,20240506
72336S,0,0,0,0,0,1,0,20240306,20240506
24867JVS,0,0,0,1,1,1,0,20240306,20240506
72445LMXJV,1,1,1,1,1,0,0,20240306,20240506
56818L,1,0,0,0,0,0,0,20240306,20240506
56820MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72195LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71121S,0,0,0,0,0,1,0,20240306,20240506
56768L,1,0,0,0,0,0,0,20240306,20240506
71431D,0,0,0,0,0,0,1,20240306,20240506
71593S,0,0,0,0,0,1,0,20240306,20240506
72235S,0,0,0,0,0,1,0,20240306,20240506
72452LMXJV,1,1,1,1,1,0,0,20240306,20240506
72204LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71254LMXJV,1,1,1,1,1,0,0,20240306,20240506
24661JVS,0,0,0,1,1,1,0,20240306,20240506
24290X,0,0,1,0,0,0,0,20240306,20240506
71256LMXJV,1,1,1,1,1,0,0,20240306,20240506
56787L,1,0,0,0,0,0,0,20240306,20240506
71089LMXJV,1,1,1,1,1,0,0,20240306,20240506
71436S,0,0,0,0,0,1,0,20240306,20240506
71124LM,1,1,0,0,0,0,0,20240306,20240506
71127LM,1,1,0,0,0,0,0,20240306,20240506
56788MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71727LMXJV,1,1,1,1,1,0,0,20240306,20240506
71474S,0,0,0,0,0,1,0,20240306,20240506
71434LMXJV,1,1,1,1,1,0,0,20240306,20240506
56760L,1,0,0,0,0,0,0,20240306,20240506
71177S,0,0,0,0,0,1,0,20240306,20240506
24291JVS,0,0,0,1,1,1,0,20240306,20240506
56789MXJVSD,0,1,1,1,1,1,1,20240306,20240506
56729MXJVSD,0,1,1,1,1,1,1,20240306,20240506
56835MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71186LM,1,1,0,0,0,0,0,20240306,20240506
72205LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71139XJV,0,0,1,1,1,0,0,20240306,20240506
71143XJV,0,0,1,1,1,0,0,20240306,20240506
71044LMXJV,1,1,1,1,1,0,0,20240306,20240506
56806L,1,0,0,0,0,0,0,20240306,20240506
56826L,1,0,0,0,0,0,0,20240306,20240506
71180LM,1,1,0,0,0,0,0,20240306,20240506
24659D,0,0,0,0,0,0,1,20240306,20240506
71134XJV,0,0,1,1,1,0,0,20240306,20240506
71199XJV,0,0,1,1,1,0,0,20240306,20240506
24866JVS,0,0,0,1,1,1,0,20240306,20240506
72231D,0,0,0,0,0,0,1,20240306,20240506
71108LMXJV,1,1,1,1,1,0,0,20240306,20240506
56719L,1,0,0,0,0,0,0,20240306,20240506
24865X,0,0,1,0,0,0,0,20240306,20240506
56786L,1,0,0,0,0,0,0,20240306,20240506
71433LMXJV,1,1,1,1,1,0,0,20240306,20240506
71748D,0,0,0,0,0,0,1,20240306,20240506
56807MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71196XJV,0,0,1,1,1,0,0,20240306,20240506
56778MXJVSD,0,1,1,1,1,1,1,20240306,20240506
72332LMXJV,1,1,1,1,1,0,0,20240306,20240506
71090LMXJV,1,1,1,1,1,0,0,20240306,20240506
71189XJV,0,0,1,1,1,0,0,20240306,20240506
56836MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71056S,0,0,0,0,0,1,0,20240306,20240506
71749LMXJV,1,1,1,1,1,0,0,20240306,20240506
71187LM,1,1,0,0,0,0,0,20240306,20240506
71432LMXJV,1,1,1,1,1,0,0,20240306,20240506
71728LMXJV,1,1,1,1,1,0,0,20240306,20240506
56827MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71100LMXJV,1,1,1,1,1,0,0,20240306,20240506
71122LM,1,1,0,0,0,0,0,20240306,20240506
72446LMXJV,1,1,1,1,1,0,0,20240306,20240506
71106D,0,0,0,0,0,0,1,20240306,20240506
72444LMXJV,1,1,1,1,1,0,0,20240306,20240506
71142XJV,0,0,1,1,1,0,0,20240306,20240506
71722LMXJV,1,1,1,1,1,0,0,20240306,20240506
72230D,0,0,0,0,0,0,1,20240306,20240506
72333LMXJV,1,1,1,1,1,0,0,20240306,20240506
72334LMXJV,1,1,1,1,1,0,0,20240306,20240506
56770MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71117S,0,0,0,0,0,1,0,20240306,20240506
72237LMXJV,1,1,1,1,1,0,0,20240306,20240506
71726LMXJV,1,1,1,1,1,0,0,20240306,20240506
71140XJV,0,0,1,1,1,0,0,20240306,20240506
56828MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71099LMXJV,1,1,1,1,1,0,0,20240306,20240506
71057LMXJV,1,1,1,1,1,0,0,20240306,20240506
72335S,0,0,0,0,0,1,0,20240306,20240506
71729S,0,0,0,0,0,1,0,20240306,20240506
71173S,0,0,0,0,0,1,0,20240306,20240506
71183LM,1,1,0,0,0,0,0,20240306,20240506
71587LMXJV,1,1,1,1,1,0,0,20240306,20240506
71195XJV,0,0,1,1,1,0,0,20240306,20240506
71133XJV,0,0,1,1,1,0,0,20240306,20240506
72330D,0,0,0,0,0,0,1,20240306,20240506
72199LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
56738MXJVSD,0,1,1,1,1,1,1,20240306,20240506
24292JVS,0,0,0,1,1,1,0,20240306,20240506
71131LM,1,1,0,0,0,0,0,20240306,20240506
56745MXJVSD,0,1,1,1,1,1,1,20240306,20240506
56825L,1,0,0,0,0,0,0,20240306,20240506
56805L,1,0,0,0,0,0,0,20240306,20240506
33154LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71042D,0,0,0,0,0,0,1,20240306,20240506
72449LMXJV,1,1,1,1,1,0,0,20240306,20240506
71123LM,1,1,0,0,0,0,0,20240306,20240506
71590LMXJV,1,1,1,1,1,0,0,20240306,20240506
71724LMXJV,1,1,1,1,1,0,0,20240306,20240506
72337S,0,0,0,0,0,1,0,20240306,20240506
71116D,0,0,0,0,0,0,1,20240306,20240506
72200LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71589LMXJV,1,1,1,1,1,0,0,20240306,20240506
71176S,0,0,0,0,0,1,0,20240306,20240506
72459SD,0,0,0,0,0,1,1,20240306,20240506
71184LM,1,1,0,0,0,0,0,20240306,20240506
71071S,0,0,0,0,0,1,0,20240306,20240506
72339S,0,0,0,0,0,1,0,20240306,20240506
72196LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71182LM,1,1,0,0,0,0,0,20240306,20240506
71730S,0,0,0,0,0,1,0,20240306,20240506
71048D,0,0,0,0,0,0,1,20240306,20240506
56721MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71179LM,1,1,0,0,0,0,0,20240306,20240506
71072S,0,0,0,0,0,1,0,20240306,20240506
56819MXJVSD,0,1,1,1,1,1,1,20240306,20240506
56736L,1,0,0,0,0,0,0,20240306,20240506
71107S,0,0,0,0,0,1,0,20240306,20240506
72454SD,0,0,0,0,0,1,1,20240306,20240506
56777MXJVSD,0,1,1,1,1,1,1,20240306,20240506
71185LM,1,1,0,0,0,0,0,20240306,20240506
72198LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
72206LMXJVSD,1,1,1,1,1,1,1,20240306,20240506
71193XJV,0,0,1,1,1,0,0,20240306,20240506
56754MXJVSD,0,1,1,1,1,1,1,20240306,20240506
24660X,0,0,1,0,0,0,0,20240306,20240506
56775L,1,0,0,0,0,0,0,20240306,20240506
56833L,1,0,0,0,0,0,0,20240306,20240506
56735L,1,0,0,0,0,0,0,20240306,20240506
71592S,0,0,0,0,0,1,0,20240306,20240506
56798L,1,0,0,0,0,0,0,20240306,20240506
71178LM,1,1,0,0,0,0,0,20240306,20240506
