route_id,service_id,trip_id,shape_id,direction_id,block_id,trip_headsign
1071,71176S,1618785,1071D-1,0,1567835,Centro -> Circuito Periférico Interior (Horario)
1131,71437S,1625924,1131D-1,0,1574974,Centro -> Av. Jacinto Canek - Deportivo Cd. Caucel - Gran Herradura
1131,71431D,1625775,1131D-1,0,1574825,Centro -> Av. Jacinto Canek - Deportivo Cd. Caucel - Gran Herradura
1131,71433LMXJV,1625823,1131D-1,0,1574873,Centro -> Av. Jacinto Canek - Deportivo Cd. Caucel - Gran Herradura
1128,71250D,1619991,1128D-1,0,1569041,Centro -> Av. Jacinto Canek - Fracc. Las Palmeras Cd. Caucel - Fracc. Paseos de Caucel 2da Etapa
1119,71089LMXJV,1616884,1119D-1,0,1565934,Centro -> ISSSTE Pensiones - IMSS La Ceiba - Fracc. Residencial Pensiones
1123,71730S,1630235,1123D-1,0,1579285,Centro -> Circuito Poniente Plazas y Universidades
1132,71470LMXJV,1626629,1132D-1,0,1575679,Centro -> O´Horan - IMSS Cd. Caucel - Fracc. Almendros III
1132,71468D,1626561,1132D-1,0,1575611,Centro -> O´Horan - IMSS Cd. Caucel - Fracc. Almendros III
1102,71097S,1617253,1102D-1,0,1566303,Centro -> Circuito Metropolitano Exterior (Antihorario)
1131,71433LMXJV,1625812,1131D-1,0,1574862,Centro -> Av. Jacinto Canek - Deportivo Cd. Caucel - Gran Herradura
1114,71070D,1616095,1114D-1,0,1565145,Centro -> Chuburná - CICY - Prepa 8 Fracc. Fco. de Montejo - Fac. de Matemáticas - CRIT	
1131,71436S,1625890,1131D-1,0,1574940,Centro -> Av. Jacinto Canek - Deportivo Cd. Caucel - Gran Herradura
1095,33154LMXJVSD,656348,1095D-1,0,605398,Centro -> Aeropuerto-Hoteles del Centro-CIC
1070,71119S,1618141,1070D-1,0,1567191,Centro -> Circuito Periférico Exterior (Antihorario)
1070,71130LM,1618257,1070D-1,0,1567307,Centro -> Circuito Periférico Exterior (Antihorario)
1106,71054D,1615388,1106D-1,0,1564438,Centro -> Av. Tecnológico -  Siglo XXI - The Harbor - Fracc. Las Américas II
1103,71107S,1617647,1103D-1,0,1566697,Centro -> Circuito Metropolitano Interior (Horario)
1132,71472LMXJV,1626657,1132D-1,0,1575707,Centro -> O´Horan - IMSS Cd. Caucel - Fracc. Almendros III
1123,71729S,1630173,1123D-1,0,1579223,Centro -> Circuito Poniente Plazas y Universidades
1136,71592S,1627882,1136D-1,0,1576932,Centro -> Av. Aviación- Cd. Industrial- Umán
1128,71255LMXJV,1620227,1128D-1,0,1569277,Centro -> Av. Jacinto Canek - Fracc. Las Palmeras Cd. Caucel - Fracc. Paseos de Caucel 2da Etapa
1123,71729S,1630217,1123D-1,0,1579267,Centro -> Circuito Poniente Plazas y Universidades
